======================================================================
  MÉTRICAS DE ENTRENAMIENTO - 2026-05-08 21:58:54
======================================================================

Dispositivo: cuda
Épocas: 50
Learning Rate: 0.0001
Batch Size: 32
Clases: 13
Imágenes Train: 520
Imágenes Val: 272
Mejor Val Accuracy: 95.96% (Época 50)
AUC-ROC Micro-Average: 0.9983

 Época   Train Loss     Val Loss    Train Acc      Val Acc
--------------------------------------------------------
     1       2.5532       2.5381       12.50%       12.13%
     2       2.5198       2.5180       20.77%       16.18%
     3       2.4773       2.4813       26.92%       17.28%
     4       2.3824       2.4256       38.27%       18.38%
     5       2.2406       2.3229       45.77%       14.71%
     6       2.0364       2.1615       45.58%       18.38%
     7       1.8228       2.0258       50.38%       23.90%
     8       1.6046       1.9412       55.19%       26.84%
     9       1.4081       1.9308       60.77%       23.16%
    10       1.3171       1.7398       58.65%       34.19%
    11       1.1419       1.5975       65.96%       43.01%
    12       1.0399       1.5800       66.73%       40.81%
    13       0.9268       1.4413       72.88%       50.37%
    14       0.9025       1.3911       74.81%       53.31%
    15       0.7875       1.2469       74.62%       58.46%
    16       0.7313       1.2713       77.69%       57.72%
    17       0.6345       1.0585       78.85%       64.71%
    18       0.5511       1.0367       83.46%       64.71%
    19       0.5596       0.9069       83.85%       70.22%
    20       0.4465       0.7999       85.96%       73.53%
    21       0.4285       0.7334       86.54%       74.63%
    22       0.4624       0.7266       85.38%       75.74%
    23       0.3854       0.5730       87.69%       81.99%
    24       0.4063       0.5422       88.65%       81.25%
    25       0.3266       0.4734       90.96%       84.93%
    26       0.3145       0.4511       90.00%       84.19%
    27       0.2165       0.4730       92.69%       82.35%
    28       0.3020       0.4980       91.73%       84.19%
    29       0.2292       0.3705       92.12%       88.97%
    30       0.2346       0.4397       93.46%       86.03%
    31       0.2089       0.3664       94.04%       89.34%
    32       0.1729       0.2915       95.38%       90.81%
    33       0.1915       0.3314       92.88%       89.34%
    34       0.1791       0.2931       93.65%       90.81%
    35       0.1642       0.2783       94.42%       91.91%
    36       0.1193       0.2486       97.12%       91.91%
    37       0.1552       0.2347       96.35%       93.75%
    38       0.1487       0.2809       97.31%       91.18%
    39       0.1201       0.2815       96.15%       89.71%
    40       0.0997       0.2806       97.69%       91.18%
    41       0.1347       0.2563       96.15%       92.28%
    42       0.1285       0.2248       96.15%       94.85%
    43       0.0926       0.2480       98.27%       93.01%
    44       0.1261       0.2472       95.96%       94.49%
    45       0.1042       0.2409       96.92%       93.01%
    46       0.1028       0.2521       97.12%       91.91%
    47       0.1235       0.2420       97.31%       93.38%
    48       0.0837       0.2346       97.69%       94.12%
    49       0.0990       0.2061       97.69%       95.22%
    50       0.1053       0.1988       97.12%       95.96%
